Date,Open,High,Low,Close,Volume,Ticker
2000-11-20,,,,,,META
2000-11-21,,,,,,META
2000-11-22,,,,,,META
2000-11-24,,,,,,META
2000-11-27,,,,,,META
2000-11-28,,,,,,META
2000-11-29,,,,,,META
2000-11-30,,,,,,META
2000-12-01,,,,,,META
2000-12-04,,,,,,META
2000-12-05,,,,,,META
2000-12-06,,,,,,META
2000-12-07,,,,,,META
2000-12-08,,,,,,META
2000-12-11,,,,,,META
2000-12-12,,,,,,META
2000-12-13,,,,,,META
2000-12-14,,,,,,META
2000-12-15,,,,,,META
2000-12-18,,,,,,META
2000-12-19,,,,,,META
2000-12-20,,,,,,META
2000-12-21,,,,,,META
2000-12-22,,,,,,META
2000-12-26,,,,,,META
2000-12-27,,,,,,META
2000-12-28,,,,,,META
2000-12-29,,,,,,META
2001-01-02,,,,,,META
2001-01-03,,,,,,META
2001-01-04,,,,,,META
2001-01-05,,,,,,META
2001-01-08,,,,,,META
2001-01-09,,,,,,META
2001-01-10,,,,,,META
2001-01-11,,,,,,META
2001-01-12,,,,,,META
2001-01-16,,,,,,META
2001-01-17,,,,,,META
2001-01-18,,,,,,META
2001-01-19,,,,,,META
2001-01-22,,,,,,META
2001-01-23,,,,,,META
2001-01-24,,,,,,META
2001-01-25,,,,,,META
2001-01-26,,,,,,META
2001-01-29,,,,,,META
2001-01-30,,,,,,META
2001-01-31,,,,,,META
2001-02-01,,,,,,META
2001-02-02,,,,,,META
2001-02-05,,,,,,META
2001-02-06,,,,,,META
2001-02-07,,,,,,META
2001-02-08,,,,,,META
2001-02-09,,,,,,META
2001-02-12,,,,,,META
2001-02-13,,,,,,META
2001-02-14,,,,,,META
2001-02-15,,,,,,META
2001-02-16,,,,,,META
2001-02-20,,,,,,META
2001-02-21,,,,,,META
2001-02-22,,,,,,META
2001-02-23,,,,,,META
2001-02-26,,,,,,META
2001-02-27,,,,,,META
2001-02-28,,,,,,META
2001-03-01,,,,,,META
2001-03-02,,,,,,META
2001-03-05,,,,,,META
2001-03-06,,,,,,META
2001-03-07,,,,,,META
2001-03-08,,,,,,META
2001-03-09,,,,,,META
2001-03-12,,,,,,META
2001-03-13,,,,,,META
2001-03-14,,,,,,META
2001-03-15,,,,,,META
2001-03-16,,,,,,META
2001-03-19,,,,,,META
2001-03-20,,,,,,META
2001-03-21,,,,,,META
2001-03-22,,,,,,META
2001-03-23,,,,,,META
2001-03-26,,,,,,META
2001-03-27,,,,,,META
